"Band","Peuk1","Peuk2","Peuk3","Pro_border1","Pro_border2","Pro_border3","Pro_gyre1","Pro_gyre2","Pro_gyre3","Pro_gyre4","Syn1","Syn2"
"454",0.00257690434764078,0.00377143566304063,0.003847608,0.00731475235261025,0.00666353059656198,0.00742706506381343,0.0108720366247725,0.0118124849286154,0.008538081,0.008456051,0.00390675311889551,0.00379825568603114
"456",0.00253052506461216,0.0037770974696169,0.003841975,0.00725537093390942,0.00662631679096988,0.00734040118010832,0.0107135077531571,0.0116390655698718,0.008448072,0.008349482,0.00389217555749292,0.00376834501207793
"458",0.00253087736940843,0.00379874905261969,0.003838271,0.00724827533941148,0.00662543566250572,0.00730090964172045,0.010617339485473,0.0115624445730217,0.008455921,0.008324904,0.00387883132776486,0.0037463695187294
"460",0.00249721341174837,0.00377254850098161,0.003849219,0.00722348808744775,0.00662451147786309,0.00728111167176799,0.0105281870001571,0.0114781604393416,0.008420484,0.008320919,0.00387935778778582,0.00373929250014484
"462",0.00246428410721357,0.00374111000310522,0.003874571,0.00719572279219137,0.00662679841586427,0.00727904109257722,0.0104444060066222,0.0113882166464366,0.008379837,0.008333086,0.00390297633805069,0.0037491644479858
"464",0.0024588349213953,0.00370677456258734,0.003845141,0.00714022900193398,0.00659023625416461,0.00725230969055493,0.0103269293428517,0.0112313365008031,0.008284116,0.008229819,0.00389886087298465,0.00370791126469854
"466",0.00245402744745735,0.00370240588800829,0.003831065,0.00709197438516691,0.00655282000008259,0.00721156641534253,0.010195629552336,0.0110661524578997,0.008196487,0.008150119,0.00389411473108914,0.00368745499480412
"468",0.00243737864654178,0.00372058149164052,0.003828989,0.00704560260230167,0.00650655620514991,0.00713871944597261,0.0100346727601805,0.0108847733485119,0.008117723,0.00808047,0.00387103760016709,0.0036869111129475
"470",0.00245514402309077,0.00373908339749783,0.003846163,0.00699185438378671,0.00644457996388468,0.00706722568487922,0.00986894216561563,0.010664600869923,0.007995562,0.008012631,0.00387098876963399,0.00369312812404234
"472",0.00248076392974851,0.00373173754140434,0.003841039,0.00691644056183057,0.00636444637727974,0.00697592030871323,0.00967939579074101,0.0104130659842804,0.007829091,0.007907442,0.00386278345654824,0.00367557805489745
"474",0.00251898017140033,0.00366913735728284,0.003823283,0.00681934740277963,0.0062819306834058,0.00689320163664107,0.00942477085048349,0.010174424106218,0.007669922,0.007730202,0.00384657508344021,0.00367165302370743
"476",0.00252749277809861,0.00364027092876951,0.003815613,0.00671893342738747,0.00619282929808968,0.00679788193658589,0.00917812072528562,0.0099349591794771,0.007497496,0.007553689,0.00381562305560407,0.00367141163816429
"478",0.00251701596199126,0.00365254074944801,0.003818864,0.00662902467188889,0.00610889735497508,0.00670023463599907,0.00895905747279188,0.00970602594411716,0.007339497,0.007406465,0.00380181615208418,0.00369903642042848
"480",0.00248997403178038,0.00366965229832252,0.003799322,0.00651076311399018,0.00599982547122322,0.00656809494412451,0.00872534284585575,0.00944105868543016,0.007125588,0.007220929,0.00379490511982014,0.00367090291871033
"482",0.00250657204380643,0.00373742916976357,0.003836406,0.00642095820149377,0.00590692936690885,0.00648477960263256,0.00851882444196126,0.00919479049387282,0.006951993,0.007106382,0.00384287779606494,0.00368657919768257
"484",0.0024931458129194,0.00370525455123821,0.003824891,0.00628370350667725,0.00576829927351071,0.00631920501550277,0.00827220432655571,0.00892991786915388,0.006769466,0.006916827,0.0038113919767048,0.0036190822384375
"486",0.00250534791118084,0.00369437847228781,0.003840956,0.00615662662384654,0.00564356944952065,0.00618777947083885,0.00802824762499042,0.00866195860419625,0.00661197,0.006765465,0.00379918419116026,0.00361359616685938
"488",0.00244622964712595,0.00359656707744548,0.00378373,0.00598015579987233,0.00548821222549257,0.00599488628692127,0.00772282876574692,0.00832564699975518,0.006371562,0.006533743,0.00370033508964977,0.00356833099647121
"490",0.00247419474451765,0.0036192954247898,0.00380012,0.00583167749779158,0.00534015204859317,0.0058581579777127,0.00742071114841704,0.00799244616277873,0.00617222,0.006363414,0.00368991915285043,0.00358653616883221
"492",0.0024678423810802,0.00361840496594684,0.003760933,0.00564551149763466,0.0051581007534483,0.00566647803388298,0.00708330064923865,0.0076311443344491,0.00589896,0.006122807,0.00364946148054793,0.00354622123280463
"494",0.00249641167082384,0.00361621970630444,0.003705466,0.00543642211597255,0.00493732517562311,0.00544144711992782,0.00670386943325503,0.00722372932158071,0.005588977,0.0058727,0.00361398485571989,0.00353437351004509
"496",0.00246150919137941,0.00356929445896342,0.003642919,0.00520375070632177,0.00469699226045553,0.00518936069146994,0.00630520108418116,0.00679625443288264,0.005261988,0.005580267,0.003552264603498,0.00347579529520685
"498",0.00241691013899205,0.00354142551318406,0.003645459,0.0049706800441763,0.00445287818234907,0.0049515922462259,0.0059023990491292,0.00636399451940025,0.004961279,0.005314388,0.00350629085997688,0.00341586603473139
"500",0.00237833088201351,0.00349977492303225,0.003574845,0.00471984742058246,0.00419437472594427,0.00469935671383248,0.00548911897658117,0.00593117150618312,0.004638398,0.005006372,0.00344630994836954,0.00333528684814267
"502",0.00233164235321035,0.00345808568981894,0.003485934,0.00445982450955091,0.00392970282575864,0.00443810016896798,0.0050703240248597,0.00549867680503777,0.004309584,0.004688488,0.00338185469147828,0.00324742979943429
"504",0.0022270172768905,0.00338689551869679,0.003425941,0.00419346349121483,0.00367079193349226,0.00417592047331176,0.00463281178429735,0.00506924793170424,0.004002434,0.004350996,0.00329072243827768,0.00318183204924513
"506",0.00214481462986106,0.00330064802530233,0.003353413,0.00392615553601218,0.00340387418552531,0.00390940993516883,0.00421535463219003,0.00463847277183259,0.003693984,0.004041707,0.00318642695065812,0.00308860831483434
"508",0.00209117858372037,0.00316759650007663,0.003256179,0.0036721882926707,0.0031312136758579,0.00367547816653609,0.00383641623425002,0.00421511626973518,0.003395772,0.003772985,0.00310796599643358,0.00297784973789774
"510",0.00201665027470894,0.00300878106323729,0.003095706,0.00340627150971452,0.00286404171743812,0.00340644378195738,0.00348273206661649,0.00383891412952922,0.003085851,0.003454735,0.00294896873905992,0.00280392748673701
"512",0.00197468535160614,0.00289269114439667,0.00295817,0.00316485225073607,0.00261662868305719,0.00317485091565258,0.0031531304127555,0.00349202564808273,0.002825377,0.003179388,0.0027927511489243,0.00266716185323119
"514",0.00185776363184324,0.00276524824867057,0.002778529,0.00297819175540648,0.00243582389528844,0.00296815019667348,0.00290687907676021,0.00324913623928415,0.002607793,0.002954522,0.0026685080640593,0.00253171386383144
"516",0.00185019402851867,0.00272430901267566,0.002705158,0.00285447889284033,0.00230307162047014,0.0028554750812162,0.00273285485585252,0.00307438751114663,0.002487651,0.002859938,0.00262672997919055,0.00248335414619026
"518",0.00183355672646795,0.00267817403809038,0.002639055,0.00274871826047003,0.00219819403029598,0.00274498948345367,0.0026244946877497,0.00296264793951581,0.002382747,0.002769206,0.00256793590897525,0.00237925140788847
"520",0.00186726040710317,0.00266177504551697,0.002662009,0.00269847129848563,0.00216077446189903,0.00270062248784886,0.0025517950240986,0.00289015243103561,0.00236319,0.002725081,0.00256246302298782,0.00238808590840788
"522",0.00185503373348486,0.0025983055944527,0.00264539,0.00263626699026106,0.00212694759866675,0.00262228352206478,0.00247483218079282,0.00281427220412801,0.002316431,0.002618974,0.00250629927336074,0.00236846559002374
"524",0.00181393301117002,0.00260953050766593,0.002583296,0.00258322301177363,0.00208566138060129,0.00257307847290114,0.0024238302644881,0.00273925845518548,0.002258465,0.002570328,0.00248919697077772,0.00235223584545981
"526",0.00179831012863904,0.00259601132134001,0.002536998,0.00252279200499142,0.00203232446772026,0.00251154811976778,0.00236574142635879,0.00266196069699972,0.00218689,0.002495162,0.00246241651893412,0.00231840385366526
