"Band","NH01","NH02","NH03","NH04","NH05","NH06","NH07","NH08","NH09","NH10","NH11","NH12","NH13","NH14","AE01","AE02","AE03","AE04","AE05","AE06","AE07","AE08","AE09","AE10","AE11","AE12","AE12b"
"468",1.76220905749379,1.73928306831495,1.78252477722423,1.73553851328389,1.94358916396879,2.05303226822916,2.09306666101266,2.03617901147277,2.10988523585061,2.01989271788619,2.06008119075443,1.69148810199016,1.8184059469715,1.77853855125791,1.29065049368162,2.2347136330809,2.19726683830635,2.27796839516511,2.15739868166471,2.16548522647186,2.07750250054554,1.91898495412643,1.86668606577211,1.85302043513338,1.86495601378708,1.94027725416709,1.9420511780541
"470",1.7284962963677,1.70263690987341,1.74803642516656,1.69757241889298,1.91713909744071,2.03605474666926,2.08303111365064,2.01654974736903,2.10164391678581,2.00171937768268,2.04444006533785,1.65193496402441,1.78597815721435,1.74397050033338,1.29894463890326,2.23153601925295,2.19765440121166,2.27362185803056,2.13709279293579,2.14641444351245,2.05729567907655,1.88890906283051,1.83248110367625,1.81846531905303,1.82942155215665,1.90908001691709,1.91087204962841
"472",1.69194679977088,1.66279224213883,1.71025153222989,1.65605644981054,1.887186364269,2.01766156056309,2.07187032882609,1.99464265311274,2.09048473228556,1.98124056937836,2.02721097229894,1.60961174832271,1.75066086468475,1.70563350610115,1.31916371349526,2.23180618593176,2.20275541310319,2.27036402662889,2.11642328582959,2.12790440443375,2.03596489654756,1.85641505674228,1.79538986150976,1.78108665533859,1.79186813931235,1.87654410573209,1.87836724604119
"474",1.65306290384246,1.62085103380168,1.67028274359728,1.61263965152447,1.85463870728132,1.9982156155741,2.05906765236745,1.97084636074207,2.07681034273055,1.95906991721975,2.00879640756846,1.56624575003741,1.71362372327374,1.66500100396591,1.35189698840705,2.23572152254382,2.21316520549972,2.26957412873837,2.09538449383738,2.11003791144618,2.0132752569061,1.82248415695731,1.75637023544094,1.74196716018016,1.75330586717222,1.84332818485078,1.84512156334216
"476",1.61332902954516,1.5787758382379,1.6300958807608,1.56950250066121,1.82060393997798,1.97729168139782,2.04355085087805,1.94487178000094,2.06062337997307,1.93531274767373,1.98845860539979,1.52345247848254,1.67596480649189,1.62450902512062,1.39214925852262,2.24045488759895,2.2246202989317,2.26877975108342,2.07212682999052,2.09128064436898,1.98780258746399,1.78758393532488,1.71683820724509,1.70254435008027,1.7148208004669,1.80963071349046,1.81123276661459
"478",1.57279617758614,1.53655302156047,1.58956417750626,1.52636036854196,1.78476098555312,1.95423238878073,2.02429552039721,1.91635864858081,2.04080100326369,1.90911466443032,1.96510744003225,1.48066388647076,1.6372886045123,1.58376530102058,1.43647693921043,2.2435604205693,2.23488849371562,2.26575090444857,2.04555558131917,2.07016505944422,1.95769927389629,1.75144288317358,1.6766153110168,1.66301341103821,1.67504359186413,1.77465089628009,1.77564253735986
"480",1.53153951589537,1.49422874199409,1.54861462562415,1.48341859406545,1.74731236474106,1.92884674002986,2.00171250565178,1.88578631173178,2.01783663653318,1.88052184253353,1.93866650025238,1.43777029984098,1.59773900688992,1.54258671965557,1.48334232988274,2.24331075300032,2.2431434820836,2.2588158321553,2.01612702570826,2.04572157570916,1.92320356240887,1.71394736339545,1.63603396743742,1.62328729268798,1.63404014594449,1.73817932322278,1.73780733084329
"482",1.48758713542215,1.4500900637179,1.50527313105036,1.43910681832024,1.70735165116924,1.90000712422898,1.97515747393141,1.85232598244699,1.991784461266,1.8482321191181,1.90824265123102,1.39343906820279,1.55605565289181,1.49948515543284,1.53206261098288,2.23872776647177,2.24853430080557,2.24626110862006,1.98335642270771,2.01738924463655,1.88432835894841,1.67346837635626,1.59374905528997,1.58123040732792,1.59154552430736,1.69903996846295,1.69700531564905
"484",1.440914161558,1.40298724120472,1.45880740590525,1.39284911297735,1.66528150796366,1.86852336383675,1.94609766837307,1.8169194275724,1.96417578971004,1.81304664758664,1.87572523527401,1.34666660954167,1.51205240753063,1.45338679662825,1.58692898120704,2.231212762495,2.25293516919697,2.2299320748637,1.94793415144442,1.98707697664302,1.84253713809674,1.62996486420727,1.54878998256404,1.53643785497906,1.54707906806563,1.65725004170784,1.65414486694695
"486",1.39151703724825,1.35205024970877,1.4090452076114,1.34409113953485,1.62057175721096,1.83408227177195,1.91431919161523,1.77932020193319,1.93472646869398,1.77517145841509,1.84162892431556,1.29647222088421,1.4649032966486,1.40346030463346,1.64991279356858,2.22093131324743,2.25602345224998,2.2100153428884,1.90955618995662,1.95474227675921,1.79832013592354,1.58313870430867,1.50018798480146,1.48888661920301,1.49944395585165,1.61201326882918,1.60893359038761
"488",1.33840979824795,1.29721386209189,1.35559617258643,1.29232107708469,1.57315602211602,1.79776546265485,1.8805071831368,1.73912318074199,1.90408098874962,1.73492737016743,1.80631167366908,1.24307121229935,1.4143697111995,1.3492380855138,1.72067494572127,2.2089245998952,2.25773036322371,2.18654207951267,1.86907984158514,1.92031225947931,1.75145081238068,1.53290343860682,1.44754852811185,1.43800526064227,1.44799635540723,1.56331255833499,1.56026690882362
"490",1.28082976352731,1.23814184008058,1.29774640008331,1.23646237912033,1.52165690256711,1.75832239129516,1.84307425158403,1.69407960398679,1.8700336130864,1.69115891825047,1.76852867211359,1.18611337854012,1.35967335963122,1.29038620956709,1.79416391085305,2.19272052510429,2.25458396579315,2.15689968879559,1.82465014430383,1.88182850834543,1.70015481769104,1.47814982928394,1.39020721195981,1.38241943913673,1.39115605902476,1.51013477984237,1.50640959517019
"492",1.21997078634715,1.17639905691601,1.23674050852909,1.17741602403921,1.46674459761128,1.71545856787674,1.80133728121538,1.64363168825062,1.83170465881071,1.64450427177239,1.72806922497707,1.12606144768901,1.30156344804547,1.22897009118166,1.86577855816761,2.17043893846113,2.24411537685204,2.12003130499793,1.77489847490043,1.83864064586351,1.6442695869817,1.41931731198182,1.32954515213227,1.32253027839565,1.32982059971049,1.45269992946215,1.44850083893626
"494",1.15556985329442,1.11139610672578,1.17152543727139,1.11450378406901,1.40696142387569,1.66619608235566,1.75261567795894,1.58551202956247,1.78675648096892,1.59276971329013,1.68170545274607,1.06202570864205,1.23910882793726,1.16483601283252,1.92979967575791,2.13840609894931,2.22258954170789,2.07335944558428,1.7188622630522,1.78848176267236,1.58118383871901,1.35508470619321,1.26469489633337,1.25730979545888,1.26331612499048,1.38966792335194,1.38501786636206
"496",1.08820802615372,1.04298342235014,1.10226462085782,1.04836024282727,1.34231870074599,1.60931718494502,1.69640559436308,1.51964019998106,1.73456293805479,1.53519940550161,1.62851335476953,0.994890653747514,1.17255710699633,1.09768113218788,1.98643082246395,2.09637903133768,2.19043332363714,2.01767022311009,1.65751584352544,1.73117059966307,1.5112015332955,1.28576798317615,1.19562744337814,1.18744159994965,1.19187862633002,1.32144576758364,1.31601426265601
