"Band","mPeuk","mPro_border","mPro_gyre","mSyn","sdPeuk","sdPro_border","sdPro_gyre","sdSyn"
"452",0.872426991825229,1.09095185930534,1.02537876477056,0.94388482447468,0.00575080410839841,0.00374113634990527,0.0229361185272701,0.0296999104675425
"454",0.846833441366057,1.06226654056149,0.98348166116328,0.92137009223968,0.0304767329164459,0.00880971431514633,0.0183658064581411,0.0383723612369576
"456",0.826153157954653,1.04303387179526,0.957717712671635,0.903452739059187,0.0550119516624885,0.0144103483979299,0.0158176819672125,0.035217705092724
"458",0.807488350440415,1.03177588312546,0.942052148084933,0.890548499511501,0.0790868124295448,0.0194949073191731,0.014275885071405,0.0219081251135551
"460",0.792953895089584,1.02694959770112,0.931122442289165,0.887319508502824,0.10303158211187,0.0229156472626261,0.0129283410679259,0.00811526589735151
"462",0.777469240220807,1.02129811459411,0.918232275076609,0.882248420685658,0.115714354877272,0.0251277236767329,0.0138706810015045,0.000768801850593195
"464",0.768540773811227,1.01352671678674,0.901604095268308,0.880104831343453,0.119608262881569,0.0258168435284738,0.0182520656677511,0.00484540644608699
"466",0.759306426627597,0.999057055354313,0.877474321030154,0.875291687561597,0.126307893860502,0.0259002179362691,0.0237833320915476,0.010503238801941
"468",0.761220340745349,0.979327165813208,0.848451245007094,0.868829617456321,0.124729463131762,0.0257941447046183,0.0294232285746988,0.0170067888163897
"470",0.766185568168131,0.954974550625867,0.81495726054786,0.857557570976903,0.112064870084783,0.0268206671129706,0.0341517022146513,0.0171911043455083
"472",0.769793506730716,0.92771891823131,0.777722522629253,0.84787013281838,0.090131206424093,0.0278243815291308,0.038315793081854,0.00715505233896877
"474",0.770492072920133,0.898926501328564,0.736728541168834,0.842087819418751,0.0707210148924028,0.0280332379881799,0.0412179255240721,0.00791599629762408
"476",0.770439761057116,0.868069563882324,0.693153023472529,0.840440729238034,0.0631741155249634,0.0280007054683173,0.0421842725066085,0.0178827859315792
"478",0.771061402929486,0.834314879232572,0.647768107964962,0.840574595137669,0.0578667201094207,0.0278750484241486,0.041726862062426,0.0200894521687664
"480",0.77335290484859,0.797787490323451,0.60311823205564,0.837569645426495,0.0593229781105644,0.0280488519191283,0.0413640435666215,0.0145466289516242
"482",0.772393774843185,0.758218351484654,0.559335123792826,0.830052884515396,0.0752613227434205,0.0286911511062314,0.0425115637519687,0.00644845022441067
"484",0.769169691792802,0.715519741146408,0.515469629545451,0.81666603906771,0.0894687225156373,0.0294549022529698,0.0453824955866329,0.00138470395250154
"486",0.760388598236268,0.668468371795216,0.467667025505838,0.796382625011644,0.0907670363201863,0.0295340589112,0.0480627336972981,0.00444985617260045
"488",0.745429077547425,0.616131769014281,0.414247614312693,0.770775375330121,0.0848245467516684,0.0297927145572705,0.0499061523268564,0.00494181190975039
"490",0.731163784806969,0.558143272543642,0.35492860910856,0.746958875406977,0.0749868066151656,0.029312617280602,0.0522262872071287,0.0244967365240768
"492",0.715911691768285,0.493667178175295,0.289827412826948,0.724081929484061,0.0632787768573726,0.027888024049728,0.0550335330568043,0.0402257977065443
"494",0.70431559628609,0.421563065650385,0.219135297352612,0.698087148269607,0.0475224367730192,0.0249590753353298,0.058163178621666,0.0456205393116206
"496",0.682479053937037,0.3415636728605,0.142945202739676,0.660107005498986,0.0368309558453475,0.0217815933635104,0.0594174905374405,0.0400937349325917
