"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"a472","0.0260779730675868","0.0291124558407143","0.00396449065724359","0.0118276352997208","0.0190078050883285","0.0430930617856835"
"a474","0.0254584078588834","0.0283024139746297","0.00383799200588834","0.0115747695587817","0.0185801028180381","0.0419920752667277"
"a476","0.0248108767138132","0.0274813500730695","0.00371868458352978","0.0113272946398608","0.018161457474913","0.0409004067822806"
"a478","0.0241692271316955","0.0266919391248348","0.00361163815577343","0.0110987708128007","0.0177512004549092","0.03986341411262"
"a480","0.0235385004522037","0.0259613122327761","0.00352736214656401","0.0109054418706247","0.0173565217492736","0.0389279622418483"
"a482","0.0229077737727119","0.0252306853407175","0.0034430861373546","0.0107121129284488","0.016961843043638","0.0379925103710767"
"a484","0.0221952383027401","0.0244805706004615","0.00332837412384092","0.0105701479374299","0.0165734274354302","0.0370342418417319"
"a486","0.0214736129671593","0.0237282905437391","0.00321028033207121","0.0104338900520951","0.0161857077269366","0.0360734381281013"
"a488","0.0207844700262159","0.022991388830561","0.00310652958244506","0.0103265663363486","0.0157927499063372","0.0351835512995889"
"a490","0.0201128176054619","0.0222627677639066","0.00301050200935775","0.0102348225580727","0.0153969715638347","0.0343318504861403"
"a492","0.019431578731327","0.0215278288286757","0.00291302745894372","0.0101406866305017","0.0150097024101249","0.0335151190878304"
"a494","0.01872797146597","0.0207781482000995","0.00281217662810066","0.0100409690212421","0.0146422880302648","0.0327799829915107"
"a496","0.0180243642006129","0.0200284675715232","0.0027113257972576","0.00994125141198247","0.0142748736504047","0.032044846895191"
"a498","0.0173724978340149","0.0193034540272111","0.00257668378866153","0.00973844395261041","0.0138469471684121","0.0312650890009306"
"a500","0.0167233546726148","0.0185797387504919","0.00244026329702583","0.00953021071165348","0.0134158358389389","0.0304829825909891"
"a502","0.0161638929466041","0.0179481842006411","0.00229776358670436","0.00935421217805872","0.0130083073682459","0.0297714773079632"
"a504","0.0156527212242645","0.0173662546575656","0.00215199045093671","0.00919557079458204","0.012613477359973","0.0290979880163533"
"a506","0.0151536446503748","0.0168062605650108","0.00201028096268307","0.00903047114454958","0.0122285051743672","0.0284243250427154"
"a508","0.0146908535218348","0.0163120728240177","0.00188076241697147","0.00884599669484975","0.0118731064567631","0.0277501410229933"
"a510","0.0142280623932948","0.0158178850830247","0.00175124387125986","0.00866152224514992","0.011517707739159","0.0270759570032712"
"a512","0.0138179270805762","0.0153632040870748","0.00164435409584916","0.00854190317109355","0.0111841878160299","0.0265123142351761"
"a514","0.013420955721813","0.0149183997773856","0.00154312151301369","0.00843849794094803","0.0108561375915197","0.0259763067799878"
"a516","0.0130225684618185","0.0144812868070688","0.00144766743446168","0.00834819272866218","0.0105351582534197","0.0254343978991064"
"a518","0.0126208774322843","0.0140621202952876","0.00136569653257108","0.00828845422471552","0.0102306776502767","0.0248787190249412"
"a520","0.0122191864027502","0.0136429537835064","0.00128372563068048","0.00822871572076886","0.00992619704713378","0.0243230401507759"
"a522","0.0117918805275018","0.0132087974527353","0.00121366266017731","0.00819780521902641","0.00962958524684992","0.0237279563472567"
"a524","0.0113600543853626","0.0127719958597895","0.00114570108933075","0.00817198201179059","0.00933436205883531","0.0231259187326751"
"a526","0.0109193893018024","0.0123360126465127","0.00108695256757697","0.00818242641647328","0.00905689852586466","0.0225626283743793"
"a528","0.0104679210676166","0.0119010296750534","0.00103946443915884","0.00823719790238969","0.00880114123794774","0.0220466957737664"
"a530","0.0100271971970895","0.0114836105783644","0.000997560616040517","0.00829128111107259","0.00855914325145909","0.0215262033473554"
"a532","0.00962945078119718","0.0111364469807566","0.000977994014121445","0.00834261121082145","0.0083721824706835","0.0209874716177518"
"a534","0.00923170436530482","0.0107892833831488","0.000958427412202373","0.00839394131057031","0.00818522168990792","0.0204487398881482"
"a536","0.00881950094377762","0.0104348792233899","0.000937045981816045","0.00843241600082094","0.00799478853718009","0.0198777639175927"
"a538","0.0084036832708417","0.0100786649230932","0.000915210844312902","0.008467676838697","0.00780348729146421","0.0192987268867992"
"a540","0.00802069268976443","0.00974882541005704","0.000895750789580173","0.00845409941495163","0.00763065878509199","0.018758976817266"
"a542","0.00767052920054582","0.00944536068428131","0.000878665817617857","0.00839168372958484","0.00747630301806342","0.0182585137089932"
"a544","0.00732347101109921","0.00913737131062809","0.000862532372316847","0.00831049537212993","0.00732293886873532","0.0177502603873442"
"a546","0.00699400952036058","0.00880374226566914","0.000851790911429907","0.00812292853950892","0.00717519388637649","0.0171978625232306"
"a548","0.00666454802962195","0.00847011322071019","0.000841049450542967","0.00793536170688792","0.00702744890401767","0.0166454646591169"
"a550","0.00639497224710661","0.00818289009921349","0.000828567039221181","0.00762610320258598","0.00688219662534668","0.0160956603181455"
"a552","0.00613596453074831","0.00790385625832778","0.00081577740135207","0.00729536969739918","0.00673738423556178","0.0155463136577285"
"a554","0.00590856516815162","0.00768019017430339","0.000803412615314965","0.00695058885326031","0.00660983492365915","0.0150736147548688"
"a556","0.00570702718590535","0.00750182498225643","0.000791395435322228","0.00659431473179704","0.00649640994820563","0.0146636276536468"
"a558","0.00551819670539927","0.0073209522681777","0.000780373036020855","0.00624007038525388","0.00638816894607208","0.0142587529401478"
"a560","0.00536748873011378","0.00713255698800365","0.00077233497879357","0.00589191536347107","0.00629547986389839","0.013869215389818"
"a562","0.0052167807548283","0.00694416170782959","0.000764296921566285","0.00554376034168826","0.0062027907817247","0.0134796778394881"
"a564","0.00509953244600333","0.00674059622534144","0.00075778728141219","0.00517704662778301","0.00611332943919239","0.0131290902833293"
"a566","0.00498228413717837","0.00653703074285328","0.000751277641258095","0.00481033291387776","0.00602386809666008","0.0127785027271704"
"a568","0.00495053890297375","0.00646096485859617","0.000746550631116983","0.00454827016332232","0.00597413054158144","0.0125601879015748"
"a570","0.00492829401039363","0.00639906559636475","0.000742021690977314","0.00429783529758353","0.00592880674066431","0.0123565700460418"
"a572","0.00490734459947138","0.00633291569306568","0.000737261365303949","0.00404916425593099","0.00588124597331213","0.0121504859967013"
"a574","0.00489373625127714","0.0062426788237167","0.000731189854939635","0.00381048821743388","0.00582100906282803","0.0119304268491178"
"a576","0.0048801279030829","0.00615244195436771","0.000725118344575321","0.00357181217893676","0.00576077215234392","0.0117103677015344"
"a578","0.00489154286164465","0.00605586937575062","0.000727466378915264","0.00337863077775515","0.00570975820341782","0.0115552027193333"
"a580","0.00490427483635146","0.00595896333875099","0.00073025754718701","0.0031878438311691","0.00565922967352108","0.0114034532195208"
"a582","0.00492008846597182","0.00590259029478681","0.000732769914453991","0.00303281971766387","0.00560672759023865","0.0112564943313732"
"a584","0.0049369293138967","0.00585972824850112","0.000735189348052717","0.00288971654851892","0.00555356765582766","0.0111111323137805"
"a586","0.00493350972523012","0.00579856754569937","0.000735894918709627","0.00276642604785243","0.00549997415162635","0.0109653993811726"
"a588","0.00491351341571597","0.00572243521483904","0.000735198237868686","0.00265934591230469","0.0054460259085057","0.010819362972643"
"a590","0.00487794520145284","0.00563683999829302","0.000733626360748444","0.00256020890461844","0.00539053923949213","0.0106547806210317"
"a592","0.00481345773551301","0.00553367085118788","0.0007304291191095","0.00247582342010355","0.00533219549382029","0.0104557558036972"
