"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"c442","0.0944662271492499","0.141537924955644","0.0136299664298302","0.0443591938614037","0.0889275373658725","0.155924300998132"
"c444","0.0936459508377268","0.139954425637484","0.0136715231372737","0.0436710935220296","0.0880219521404837","0.154297191601271"
"c446","0.0929481254794094","0.138523771031209","0.0136399011650922","0.0429264625767941","0.0871197842820901","0.152741171379819"
"c448","0.092250300121092","0.137093116424933","0.0136082791929108","0.0421818316315586","0.0862176164236964","0.151185151158366"
"c450","0.0916272000715427","0.135930888984037","0.0135017121253648","0.0415329583901236","0.0854106771838767","0.149573010724458"
"c452","0.0910080329329812","0.134782789288687","0.0133912005791154","0.040889125027836","0.0846087499766135","0.147957916595158"
"c454","0.0903793259938297","0.133574542455681","0.0132683689186403","0.0402032381788519","0.083845547023565","0.146493057821869"
"c456","0.0897410792540881","0.132306148485017","0.0131332171439393","0.0394752978431713","0.0831210683247311","0.145178434404591"
"c458","0.0891115882651705","0.131061652033439","0.0129863714578031","0.0387645344398796","0.0824024386582326","0.143881368370111"
"c460","0.0885608990336687","0.130032233253635","0.0127342805687497","0.0382083634280889","0.0817364502827527","0.142742318780815"
"c462","0.0880102098021669","0.129002814473831","0.0124821896796963","0.0376521924162981","0.0810704619072729","0.141603269191519"
"c464","0.0876388221020626","0.128073109224545","0.0122408718327027","0.0371151876300247","0.0803794755058127","0.140304726338725"
"c466","0.0873639813804032","0.127197095876307","0.0120053548545104","0.0365885031190298","0.0796750286288246","0.138920302497892"
"c468","0.0870876952711964","0.126296481377333","0.0117766478597839","0.0360564130379414","0.0789977570995749","0.137634055833794"
"c470","0.0868070729993476","0.125322063426149","0.0115683708154552","0.0355081062465723","0.0784020116135405","0.136642340699896"
"c472","0.0865264507274988","0.124347645474966","0.0113600937711264","0.0349597994552031","0.077806266127506","0.135650625565998"
"c474","0.0863522148599621","0.12336243695648","0.0111598723552835","0.0344440451423631","0.0771596355975332","0.134554354477227"
"c476","0.0862045755935033","0.122374530796168","0.0109616648465622","0.0339364289491553","0.0765002838065758","0.133431944399737"
"c478","0.0860668674667435","0.121444661848001","0.0107802636351913","0.0334647738467209","0.0758619662918495","0.132337468393427"
"c480","0.0859476028851388","0.120622576293817","0.0106300741189","0.0330599036271513","0.075262712432981","0.131294869947878"
"c482","0.0858283383035341","0.119800490739633","0.0104798846026086","0.0326550334075817","0.0746634585741124","0.130252271502329"
"c484","0.0858525849443747","0.119096824414253","0.0103709859004359","0.0323685116325868","0.0742020777929494","0.129648758354794"
"c486","0.0858927772765981","0.118406315780963","0.0102666750664986","0.0320951396847668","0.0737560162426425","0.129094032462594"
"c488","0.0858935065503217","0.117695807375298","0.010127320809985","0.0318250249802964","0.0731947913942795","0.128251718319277"
"c490","0.0858729864848532","0.116974529861432","0.00996909701823815","0.0315566641760912","0.0725715555392709","0.12725454896382"
"c492","0.0858213989512032","0.116228822157324","0.00981284109725876","0.0312884218375135","0.0719725013673063","0.126288909875234"
"c494","0.0856973206584634","0.115426110675985","0.00966117687473688","0.0310204559187329","0.0714298711224445","0.125396841409347"
"c496","0.0855732423657236","0.114623399194646","0.009509512652215","0.0307524899999524","0.0708872408775827","0.124504772943461"
"c498","0.0855139184001377","0.113856026305754","0.00934386346915548","0.0305360794606593","0.0704209337255687","0.123677144315286"
"c500","0.0854580025570336","0.113090513342781","0.00917747823554136","0.030322382362392","0.0699586435784415","0.122852907257516"
"c502","0.0852958474867756","0.112354935638377","0.0090186089938481","0.0300734149633403","0.0694876016887596","0.122077670314967"
"c504","0.0850764866788192","0.111635476919358","0.00886378682472762","0.0298054558638663","0.0690118473223174","0.121328818049843"
"c506","0.0848567362781083","0.110913995788753","0.00870499120835383","0.0295395467112086","0.0685440060093959","0.120604882592823"
"c508","0.084635817099134","0.110186447423389","0.00853427525022015","0.0292797873989998","0.0680999038570365","0.119955697560118"
"c510","0.0844148979201596","0.109458899058024","0.00836355929208647","0.0290200280867911","0.0676558017046771","0.119306512527413"
"c512","0.0842505638686571","0.108783431976506","0.00820229057923401","0.0287583871006956","0.0672746988622818","0.118601516363947"
"c514","0.0841003760990224","0.108120985215949","0.00804338367770185","0.0284962756961284","0.0669093458473775","0.117882567417791"
"c516","0.0839150636117577","0.107445734119776","0.00788838575501948","0.0282391138054554","0.0665244047431925","0.117186806120057"
"c518","0.0836477934500227","0.106740606240502","0.00774250878298659","0.0279935007805356","0.0660937580973526","0.116545149335308"
"c520","0.0833805232882877","0.106035478361228","0.0075966318109537","0.0277478877556158","0.0656631114515127","0.115903492550558"
"c522","0.0830777742435132","0.105271755636043","0.00746384040839526","0.0275839661057815","0.0652818493230335","0.115306456874049"
"c524","0.0827687642193788","0.104497692643933","0.00733335822397937","0.0274344605809623","0.0649093021093827","0.114717295510759"
"c526","0.0825204195535679","0.103775058458617","0.00721335534643978","0.0273056434365743","0.0645196643058834","0.114118476712193"
"c528","0.082346221436819","0.103115281703827","0.00710616051063787","0.027202112090491","0.0641091380036805","0.113507854381625"
"c530","0.0821466952071109","0.102430164207715","0.00700377425271483","0.0271147915245598","0.0637129684949183","0.112916931790987"
"c532","0.0818458565255657","0.101643683746315","0.00692062230630725","0.0270923140792371","0.0633742261599197","0.112404808160073"
"c534","0.0815450178440205","0.100857203284915","0.00683747035989967","0.0270698366339144","0.0630354838249211","0.111892684529159"
"c536","0.0812073368451818","0.100083153216156","0.00674314288140336","0.0271007426624684","0.0626605801561563","0.111320773739122"
"c538","0.0808604452670197","0.0993122107455558","0.00664602151988487","0.0271449945594916","0.0622766361539499","0.110733916159303"
